5.0, 0.0
4.98, 0.26
4.92, 0.52
4.83, 0.78
4.7, 1.03
4.53, 1.27
4.33, 1.5
4.1, 1.72
3.83, 1.93
3.54, 2.12
3.21, 2.3
2.87, 2.46
2.5, 2.6
2.11, 2.72
1.71, 2.82
1.29, 2.9
0.87, 2.95
0.44, 2.99
0.0, 3.0
-0.44, 2.99
-0.87, 2.95
-1.29, 2.9
-1.71, 2.82
-2.11, 2.72
-2.5, 2.6
-2.87, 2.46
-3.21, 2.3
-3.54, 2.12
-3.83, 1.93
-4.1, 1.72
-4.33, 1.5
-4.53, 1.27
-4.7, 1.03
-4.83, 0.78
-4.92, 0.52
-4.98, 0.26
-5.0, 0.0
-4.98, -0.26
-4.92, -0.52
-4.83, -0.78
-4.7, -1.03
-4.53, -1.27
-4.33, -1.5
-4.1, -1.72
-3.83, -1.93
-3.54, -2.12
-3.21, -2.3
-2.87, -2.46
-2.5, -2.6
-2.11, -2.72
-1.71, -2.82
-1.29, -2.9
-0.87, -2.95
-0.44, -2.99
-0.0, -3.0
0.44, -2.99
0.87, -2.95
1.29, -2.9
1.71, -2.82
2.11, -2.72
2.5, -2.6
2.87, -2.46
3.21, -2.3
3.54, -2.12
3.83, -1.93
4.1, -1.72
4.33, -1.5
4.53, -1.27
4.7, -1.03
4.83, -0.78
4.92, -0.52
4.98, -0.26
5.0, -0.0
